TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ALLD3;5,44;21,3;1,52;0,34;0,15;11,75;9,41;6,26;1,02;1,28;0,26;0,09;0,1;0,5;-0,55;1,74;22,27;10,1;18,12;0,45;0,55;1,61;3,11;15,35;1866396,68;16,02;3,57;0,01;522030755,84
RSUL4;62,49;;6,05;1,32;0,81;41,67;23,4;14,96;3,86;1,29;-0,3;-0,1;0,9;2,07;-1,88;3,22;21,84;13,44;9,33;0,62;0,38;0,9;16,58;;310524,32;47,32;10,34;0,86;155926610,25
WIZC3;7,6;8,27;6,26;1,77;0,5;61,24;44,14;14,43;2,05;2,04;-0,01;-0,01;0,9;33,22;-0,68;1,06;28,26;8,04;23,53;0,28;0,46;0,56;11,49;-0,05;3574441,68;4,3;1,21;0,42;1215295343,2
RIAA3;8,46;28,92;2,82;0,8;0,3;60,93;22,34;14,2;1,79;2,26;0,46;0,21;0,4;1,25;-0,85;1,6;28,33;10,69;26,65;0,38;0,62;0,75;10,94;;13782706,73;10,59;3;0,01;4249764776,52
LPSB3;1,49;14,91;5,34;0,92;0,55;77,19;24,96;20,18;4,32;2,87;-1,45;-0,31;1,08;5,66;-0,77;1,48;17,29;10,21;16,35;0,59;0,43;0,51;4,02;;271331,64;1,61;0,28;0,05;219856400,19
BRSR6;14,31;11,09;3,32;0,5;0,04;29,07;9,22;7,76;2,8;3,05;;;0,26;1,55;-0,04;3974,74;15,11;1,07;;0,07;0,93;0,14;24,08;23,23;23817950,18;28,5;4,31;0,03;6383542704,06
CSED3;3,81;12,74;5,11;0,84;0,29;51,06;19,82;9,49;2,45;3,26;0,81;0,28;0,48;3,15;-0,38;1,55;16,46;5,59;18,3;0,34;0,66;0,59;9,51;;3392394,41;4,53;0,75;0,12;1388907123,12
CEAB3;11,37;4,59;5,99;0,95;0,41;55,84;12,79;7,32;3,43;3,56;0,13;0,04;0,44;2,18;-0,76;1,67;15,79;6,78;16,9;0,43;0,57;0,93;14,34;;92080900,27;12,01;1,9;0,12;3504746423,16
PLPL3;8,4;5,87;5,1;1,61;0,39;29,95;14,33;9,84;3,5;3,69;0,18;0,08;0,5;0,66;-3,97;2,87;31,56;7,62;17,29;0,24;0,74;0,77;29,5;20,5;53294622,5;5,22;1,65;-0,56;1712768400
JHSF3;11,3;5,31;4,03;1,09;0,43;63,21;65,84;53,01;3,25;3,73;0,49;0,16;2,14;2,25;-0,7;1,92;27,12;10,55;17,45;0,39;0,59;0,2;24,34;24,37;66998210,95;10,33;2,8;0,05;7726444020,4
SEER3;10,94;4,37;5,71;0,99;0,39;59,66;20,61;10,91;3,02;3,87;0,84;0,28;0,62;3,17;-0,6;1,56;17,4;6,91;19,39;0,4;0,6;0,63;12,13;8,37;10431823,95;11,01;1,92;0,02;1408213866,4
AZUL54;72,5;;5,91;-7,03;0,85;23,31;22,09;20,68;5,53;3,94;3,87;;1,22;-3,66;-1,11;0,5;-119;14,41;-16,1;-0,12;1,12;0,7;30,38;;20945788;-10,31;12,27;-0,09;353885633,13
DEXP3;6,97;8,01;6,02;0,81;0,53;16,52;10,04;7,41;4,44;3,94;-0,5;-0,09;0,45;1,13;-1,45;3,8;13,54;8,81;9,93;0,65;0,35;1,19;16,52;3,62;850615,73;8,55;1,16;-0,67;857196967,79
PINE4;12,75;6,42;6,2;1,91;0,1;20,91;15,46;10,22;4,1;3,97;;;0,63;4,97;-0,1;2,59;30,83;1,6;;0,05;0,95;0,16;31,37;;17838457,41;6,67;2,06;0,02;3204701183,72
QUAL3;1,54;0,36;28,71;0,34;0,11;87,58;21,25;1,1;1,48;4,17;2,69;0,61;0,31;-3,81;-0,16;0,92;1,17;0,38;4,11;0,33;0,67;0,35;-6,77;-47,78;7521402,09;4,59;0,05;0,09;437382060,5
MGLU3;5,44;1,43;30,9;0,37;0,12;29,88;4,76;0,35;2,3;4,18;1,87;0,3;0,11;1,99;-0,23;1,13;1,21;0,37;5,81;0,31;0,69;1,05;5,81;-19;111682378,41;14,53;0,18;-0,45;4221140854,4
BEEF3;3,68;5,32;5,17;2,92;0,09;17,06;6,99;1,25;0,92;4,36;3,43;10,86;0,06;0,63;-0,21;1,32;56,47;1,71;14,22;0,03;0,96;1,37;23,09;0,42;78940392,7;1,26;0,71;-0,03;3681988719,84
PFRM3;6,68;4,88;7,84;0,62;0,14;15,42;3,07;0,91;2,32;4,4;2,09;0,56;0,07;0,79;-0,47;1,33;7,86;1,75;13,17;0,22;0,73;1,92;15,87;15,05;1629282,13;10,83;0,85;-0,51;827069323,64
DMVF3;6,85;;14,47;0,38;0,18;28,8;3,2;0,87;3,92;4,52;0,59;0,06;0,13;10,41;-0,25;1,06;2,6;1,21;8,5;0,47;0,53;1,39;21,57;187;1614318,73;18,2;0,47;-3,59;346629467,7
HBRE3;2,58;45,17;8,88;0,15;0,05;39,39;64,13;5,43;0,75;4,52;3,77;0,74;0,48;-1,6;-0,06;0,72;1,66;0,61;7,06;0,37;0,46;0,11;47,1;;802223,32;17,54;0,29;-0,57;266227570,98
POSI3;3,66;4,91;52,79;0,33;0,12;24,87;7,33;0,29;2,1;4,6;2,5;0,4;0,15;0,46;-0,32;1,69;0,63;0,22;8,42;0,36;0,64;0,77;8,88;-44,75;4475443,09;10,98;0,07;0,22;518988000
PGMN3;3,94;6,54;9,27;0,85;0,29;32,21;5,95;2;3,13;4,68;1,55;0,42;0,19;1,2;-0,68;1,73;9,19;3,14;14,93;0,34;0,66;1,56;16,8;26,21;22110520,41;4,62;0,42;0,05;2852158931,64
EUCA4;25,25;4,46;5,71;0,79;0,46;36,99;19,52;13,03;3,81;4,72;0,86;0,18;0,74;1,98;-0,76;2,38;13,91;7,99;12,97;0,57;0,43;0,61;11,55;23,22;3653944,17;31,79;4,42;0,08;2368643606
GMAT3;4,08;4,7;5,43;0,86;0,38;22,39;5,32;4,38;4,47;4,82;0,35;0,07;0,24;1,75;-0,8;1,71;15,83;7;10,52;0,44;0,52;1,6;25,39;18,99;24936881,41;4,75;0,75;0,23;9399065677,44
CMIN3;4,37;8,8;10,65;3,35;0,69;45,85;27;12,51;4,93;4,99;0,06;0,04;1,33;6,87;-1,1;1,37;31,49;6,52;21,5;0,21;0,79;0,52;5,5;-11,17;40254637,68;1,3;0,41;-0,28;23738034631,06
GOAU3;9,13;4,38;21,03;0,64;0,15;12,02;6,04;0,83;2,9;5,07;1,97;0,43;0,17;0,66;-0,23;2,76;3,04;0,71;4,32;0,23;0,35;0,85;9,78;-8,01;331166,32;14,28;0,43;-0,43;12959657904,76
GOAU4;10,16;3,94;23,4;0,71;0,17;12,02;6,04;0,83;3,22;5,07;1,97;0,43;0,19;0,74;-0,26;2,76;3,04;0,71;4,32;0,23;0,35;0,85;9,78;-8,01;95590365,73;14,28;0,43;-0,48;12959657904,76
ABCB4;23,83;10,99;6,17;0,87;0,09;15,81;14,7;12,2;5,12;5,12;;;0,75;-2,02;-0,09;0,26;14,08;1,5;;0,11;0,89;0,12;28,96;24,19;17522835,96;27,43;3,86;1,83;6210123760,23
ENAT3;21,8;;10,29;1,29;0,46;24,54;56,1;25,34;4,65;5,12;0,47;0,13;2,61;1,31;-0,85;3,9;12,53;4,43;8,6;0,35;0,65;0,17;11,74;5,75;201679399;16,91;2,12;0,01;5785005265,2
SYNE3;3,57;11,74;8,31;0,79;0,24;54,13;47,58;20,11;3,51;5,13;1,62;0,36;1,67;9,81;-0,27;1,27;9,47;2,92;6,66;0,31;0,35;0,15;-7,59;5,31;1350673,57;4,54;0,43;-0,09;544940668,65
ESPA3;0,77;4,96;17,47;0,32;0,12;34,3;15,8;1,45;1,6;5,19;3,6;0,72;0,25;0,63;-0,23;1,73;1,83;0,71;9,29;0,39;0,61;0,49;15,93;-23,82;1022944,14;2,41;0,04;0,21;278295760,82
ANIM3;3,06;2,66;9,21;0,52;0,12;63,13;24,93;3,27;1,21;5,26;4,05;1,73;0,3;0,96;-0,16;1,9;5,62;1,27;11,57;0,23;0,72;0,39;23,12;;21850196,82;5,92;0,33;0,6;1235838543,3
CAMB3;9,65;12,67;5,92;1,28;1,05;49,37;17,14;17,94;6,19;5,33;-0,86;-0,18;1,06;2,79;-2,16;3,67;21,59;17,67;18,88;0,82;0,18;0,99;19,61;25,66;206547,68;7,56;1,63;-0,75;407954522
MDNE3;26,21;18,17;5,39;1,29;0,44;36,36;20,47;19,89;5,24;5,4;0,16;0,04;1,07;1,24;-1;2,78;23,93;8,21;15,01;0,34;0,66;0,41;35,64;;32131696,41;20,3;4,86;0,07;2731459266,74
COCE5;31,9;;5,45;0,49;0,17;20,76;17,09;5,26;1,68;5,43;4,08;1,19;0,29;-1,16;-0,2;0,56;9,01;3,03;12,51;0,34;0,66;0,58;9,35;13,76;388331,52;64,97;5,85;0,15;2201462375,53
MLAS3;1,55;3,26;7,04;0,41;0,24;26,14;4,91;4,48;6,42;5,46;-0,96;-0,06;0,32;0,66;-0,81;2,08;5,85;3,44;5,07;0,59;0,41;0,77;6,65;-16,47;2310124,86;3,76;0,22;-0,04;1271835798,75
MYPK3;8,94;3,44;15,03;0,34;0,09;12,13;6,19;0,6;1,46;5,53;4,07;0,94;0,09;0,47;-0,18;1,75;2,23;0,63;8,08;0,28;0,69;1,05;11,89;;8293008,17;26,66;0,59;-0,25;1374253232,94
VLID3;17,56;8,58;5,9;0,84;0,47;34,81;13,59;12,13;5,27;5,53;0,26;0,04;0,72;1,76;-0,89;2,32;14,22;8,01;9,42;0,56;0,43;0,66;1,24;;9067722,09;20,95;2,98;-0,29;1437046745
PSSA3;47,81;6,24;8,39;1,99;0,54;100;7,63;8,81;9,68;5,6;-4,09;-0,84;0,74;4,66;-1,32;1,24;23,7;6,41;14,03;0,27;0,73;0,73;17,03;16,88;80690079,09;24,03;5,7;0,28;30913279528,6
LAVV3;10,64;24,18;5,24;1,52;0,45;33,83;25,07;22,06;4,61;5,67;1,06;0,35;1,16;0,68;-3,43;4,22;29,03;8,56;13,59;0,29;0,65;0,39;37,41;33,53;7325847,23;7;2,03;0,5;2079421505,28
AZZA3;17,13;14,46;4,25;0,44;0,23;54,89;8,66;7,17;3,52;5,69;2,17;0,27;0,3;0,97;-0,42;2,2;10,39;5,48;1,51;0,53;0,47;0,76;49,34;76,49;52243236,86;38,77;4,03;0,04;3537170496,69
LEVE3;32,09;8,88;6,55;4,06;1,14;27,06;17,26;12,31;4,67;5,74;1,07;0,93;0,81;6,82;-2,95;1,37;62,01;17,34;21,45;0,28;0,72;1,41;17,61;39,77;8369084,91;7,9;4,9;0,2;4349446510
VVEO3;1,3;;20,81;0,22;0,05;14,91;4,92;0,17;0,73;5,77;5,04;1,53;0,04;0,37;-0,1;1,33;1,07;0,22;10,36;0,21;0,79;1,3;21,25;-30,21;2518086,5;5,83;0,06;-0,21;419666790,4
VAMO3;2,95;4,77;11,72;1,38;0,16;50,5;43,43;5,09;1,37;5,89;4,51;4,55;0,6;1,26;-0,22;1,77;11,81;1,34;12,65;0,11;0,89;0,26;30,63;11,41;40840863,41;2,13;0,25;20,8;3604389251,75
ASAI3;8,62;1,21;16,67;1,98;0,25;17,44;5,16;0,9;2,92;5,92;3;2,04;0,15;7,2;-0,39;1,1;11,89;1,48;17,18;0,12;0,88;1,64;16,49;-12,92;102461609,09;4,35;0,52;-1,09;11667439478,44
SANB11;26,73;8,64;7,67;0,79;0,08;35,45;10,12;7,87;5,96;5,96;;;0,6;-1,22;-0,08;0,23;10,34;1,01;;0,1;0,9;0,13;20,95;-0,57;62453576,45;33,71;3,49;-2,61;100217867496,62
SANB3;12,99;8,46;7,45;0,77;0,08;35,45;10,12;7,87;5,79;5,96;;;0,59;-1,18;-0,08;0,23;10,34;1,01;;0,1;0,9;0,13;20,95;-0,57;1188588,36;16,86;1,74;-2,53;100217867496,62
SANB4;13,98;8,65;8,02;0,83;0,08;35,45;10,12;7,87;6,23;5,96;;;0,63;-1,27;-0,08;0,23;10,34;1,01;;0,1;0,9;0,13;20,95;-0,57;1382800,83;16,86;1,74;-2,73;100217867496,62
